usim	TF
01232973093 (4086)	108.9079369
01232973522 (4087)	265.392369
01232972926 (4088)	100
01232972562 (4089)	185.4425555
01232972662 (4090)	190.7255785
01232972228 (4091)	304.8704016
01232971801 (4092)	177.5053645
01232973130 (4093)	185.4425555
01232972138 (4094)	177.6312787
01232971281 (4095)	100
01232973431 (4096)	100
01232973660 (4097)	100
01232972006 (4098)	168.8141489
01232973283 (4099)	100
01232971326 (4101)	203.785257
01232971210 (4102)	297.9626557
01232971604 (4103)	100
01232971572 (4104)	100
01232971243 (4105)	100
01232971685 (4106)	100
01232971354 (4107)	100
01232973128 (4108)	100
01232973036 (4109)	100
01232972637 (4110)	158.8967671
01232972606 (4111)	108.9079369
01232971850 (4112)	177.6312787
01232973116 (4113)	175.8609394
01232972860 (4114)	168.8141489
01232972323 (4115)	177.6312787
01232971480 (4116)	165.7694358
01232970898 (4117)	165.7694358
01232972128 (4118)	147.7847343
01232973254 (4119)	100
01231324844 (4120)	100
01232973354 (4121)	100
01232972692 (4122)	192.3423781
01232972221 (4123)	100
01232971241 (4124)	100
01232971206 (4125)	100
01232972941 (4126)	100
01232972322 (4127)	100
01232972298 (4128)	100
01232972149 (4129)	100
01232973333 (4130)	100
01232971564 (4131)	168.8141489
01232973612 (4132)	100
01232972517 (4133)	100
01232971796 (4134)	180.0908334
01232972561 (4135)	127.4263374
01231324735 (4136)	177.6312787
01232971308 (4137)	168.8141489
01232971295 (4138)	180.0908334
01232972936 (4139)	100
01232972305 (4140)	100
01232972833 (4141)	101.4609401
01232973052 (4142)	139.4283958
01232972273 (4143)	131.7639618
01232973104 (4144)	185.4425555
01232973054 (4145)	100
01232971476 (4146)	100
01232973303 (4147)	100
01232972758 (4148)	172.0241604
01232971307 (4149)	100
01232971468 (4150)	100
01232971376 (4151)	192.3423781
01232971784 (4152)	256.8976478
01232972078 (4153)	100
01232973174 (4154)	100
01232971757 (4155)	100
01232972756 (4156)	190.9502467
01232973591 (4157)	100
01232971420 (4158)	100
01232972373 (4159)	100
01232971653 (4160)	100
01232971664 (4161)	100
01232971419 (4162)	185.4425555
01232972685 (4163)	100
01232971568 (4164)	177.6312787
01232971617 (4165)	117.9589866
01232972193 (4166)	100
01232971478 (4167)	265.392369
01232973267 (4168)	185.4425555
01232973166 (4169)	177.5053645
01232972958 (4170)	158.8967671
01232972684 (4172)	100
01232972548 (4173)	136.3907863
01232971834 (4174)	100
01232971993 (4175)	100
01232973729 (4176)	148.2615536
01232971257 (4177)	100
01232971494 (4178)	100
01232973015 (4179)	136.3907863
01232973203 (4180)	177.6312787
01232973112 (4181)	100
01232972241 (4182)	100
01232971069 (4183)	100
01232971375 (4184)	164.1197444
01232972657 (4185)	209.6812551
01232971618 (4186)	259.3765011
01232972576 (4187)	100
01232971906 (4188)	303.2754411
01232971607 (4189)	100
01232972600 (4190)	100
01232972494 (4191)	192.3423781
01232970774 (4192)	137.2957384
01232971898 (4193)	177.6312787
01232972954 (4194)	100
01232973475 (4195)	100
01232973053 (4196)	100
01232971704 (4197)	100
01232973043 (4198)	137.2957384
01232971367 (4199)	185.4425555
01232973025 (4200)	100
01232973343 (4201)	100
01232971714 (4202)	177.6312787
01232973461 (4203)	174.3268625
01232971426 (4204)	113.2921017
01232971946 (4205)	174.3268625
01232971219 (4206)	100
01232972450 (4207)	100
01232973276 (4209)	100
01232970823 (4210)	287.3364632
01232973419 (4211)	100
01232972130 (4212)	100
01232970761 (4213)	148.2615536
01232972757 (4214)	161.7428803
01232972178 (4215)	100
01232972490 (4216)	192.3423781
01232972381 (4217)	148.2615536
01232973504 (4218)	100
01232973000 (4219)	153.1053367
01232973005 (4220)	239.6805401
01232972961 (4221)	108.9079369
01232973135 (4222)	198.4251457
01232972929 (4223)	247.0941077
01232972469 (4224)	212.7151069
01232972158 (4225)	168.8141489
01232973561 (4226)	172.0241604
01232972119 (4227)	168.8141489
01232973078 (4228)	100
01232972851 (4229)	177.6312787
01232971223 (4230)	100
01232971561 (4231)	192.3423781
01232972040 (4232)	190.7255785
01232971004 (4233)	121.5392744
01232972074 (4234)	287.3364632
01232972432 (4235)	216.3044845
01232973141 (4236)	100
01232973065 (4237)	100
01232973335 (4238)	168.8141489
01232972999 (4239)	147.0037272
01232972321 (4240)	100
01232972690 (4241)	168.8141489
01232973402 (4242)	185.4425555
01232972718 (4243)	100
01232972124 (4244)	177.6312787
01232973498 (4246)	129.0799631
01232972070 (4248)	100
01232971102 (4249)	225.9463871
01232973178 (4250)	177.6312787
01232972295 (4251)	300.5171236
01231329575 (4252)	100
01232972398 (4253)	259.3765011
01232971857 (4254)	100
01232972395 (4255)	174.3268625
01232972064 (4256)	100
01232972907 (4257)	185.4425555
01232971159 (4258)	297.0856494
01232972522 (4259)	131.7639618
01232973226 (4260)	100
01232972327 (4261)	100
01232973133 (4262)	178.8284829
01232971317 (4263)	100
01232972932 (4264)	100
01232972621 (4265)	100
01232971747 (4266)	227.6796579
01232971835 (4267)	172.0241604
01232972240 (4268)	168.8141489
01232971217 (4269)	100
01232972137 (4270)	100
01232973151 (4271)	158.8967671
01232972000 (4272)	165.7694358
01232972195 (4273)	169.1865128
01232971163 (4274)	100
01231324570 (4275)	239.6805401
01231324542 (4276)	100
01232971756 (4277)	100
01232973440 (4278)	216.3044845
01232973693 (4280)	177.6312787
01232972701 (4281)	169.1865128
01232972609 (4282)	100
01232973044 (4283)	100
01232971830 (4284)	148.0299554
01232971985 (4285)	192.3423781
01232973221 (4286)	100
01232971880 (4287)	168.8141489
01232972799 (4288)	100
01232971667 (4289)	100
01232971154 (4290)	145.9514014
01232971643 (4291)	100
01232972984 (4292)	100
01232971683 (4293)	305.6470526
01232972121 (4294)	134.3114682
01232972822 (4295)	177.6312787
01232973266 (4296)	167.5055689
01232971895 (4297)	100
01232971795 (4298)	100
01232971743 (4299)	100
01232971672 (4300)	100
01232971609 (4301)	100
01232972126 (4302)	177.7182921
01232972585 (4303)	100
01232971610 (4304)	100
01232971591 (4305)	177.5053645
01232971481 (4306)	179.0778888
01232971341 (4307)	174.3268625
01232971363 (4308)	113.6014179
01232971759 (4309)	262.6113758
01232971804 (4310)	100
01232971638 (4311)	221.4014376
01232971765 (4312)	192.3423781
01232973540 (4313)	239.6805401
01232972465 (4314)	227.6796579
01232971646 (4315)	100
01232971799 (4316)	100
01232971283 (4317)	100
01232972194 (4318)	141.660958
01232972090 (4319)	100
01232972396 (4320)	100
01232972955 (4321)	100
01232972885 (4322)	122.1196931
01232972526 (4323)	168.3345407
01232971983 (4324)	122.1196931
01232972374 (4325)	100
01232972533 (4326)	100
01232971632 (4327)	227.6796579
01232972721 (4328)	168.8141489
01232971776 (4329)	100
01232972049 (4331)	100
01232971033 (4332)	100
01232972815 (4333)	100
01232973208 (4334)	100
01232972263 (4335)	157.1020711
01232973262 (4336)	100
01232972816 (4337)	177.6312787
01232973378 (4338)	216.560319
01232973181 (4339)	100
01231304427 (4340)	137.2957384
01232973592 (4341)	100
01232972500 (4342)	132.2648461
01232972372 (4343)	100
01232971349 (4344)	168.8141489
01232973705 (4345)	223.1092396
01232972592 (4346)	176.1391026
01232971384 (4347)	303.0869365
01231325379 (4348)	145.9514014
01232973434 (4349)	185.4425555
01232972013 (4350)	176.1391026
01232972629 (4351)	106.8652077
01232973082 (4352)	100
01232973125 (4353)	121.5392744
01232973284 (4354)	177.6312787
01232972689 (4355)	168.8141489
01232972996 (4356)	100
01232971267 (4357)	192.3423781
01232972187 (4358)	176.1391026
01232971347 (4359)	177.6312787
01232973668 (4360)	100
01232971409 (4361)	100
01231322781 (4362)	169.1865128
01232971690 (4363)	100
01232971247 (4364)	124.45418
01232972829 (4365)	139.4234954
01232973099 (4366)	192.3423781
01232972918 (4367)	185.4425555
01232972848 (4368)	121.5392744
01232971939 (4369)	221.4014376
01232973580 (4370)	100
01232971199 (4371)	100
01232972827 (4372)	100
01232971457 (4373)	100
01232972053 (4374)	100
01232972774 (4375)	166.7172224
01232971995 (4376)	137.2957384
01232972504 (4377)	100
01232971166 (4378)	248.1461112
01232973110 (4379)	100
01232973715 (4380)	248.1461112
01232972190 (4381)	100
01232972788 (4382)	300.5171236
01232971567 (4383)	100
01232972349 (4384)	185.4425555
01232971339 (4385)	177.6312787
01232971601 (4386)	250.177211
01232972596 (4387)	151.8404357
01232972280 (4388)	135.7113676
01232972062 (4389)	172.0241604
01232972085 (4390)	135.7113676
01232973348 (4391)	172.0241604
01232973619 (4392)	136.7511685
01232972595 (4393)	185.4425555
01232973136 (4394)	100
01232973464 (4397)	168.8141489
01232971402 (4398)	178.470132
01232971179 (4399)	100
01232973024 (4400)	100
01232971355 (4401)	155.4906109
01232972628 (4402)	100
01231328627 (4403)	100
01232972844 (4404)	100
01232972604 (4405)	177.6312787
01232972034 (4406)	113.3943142
01232972656 (4407)	100
01232971621 (4408)	100
01232973016 (4409)	100
01232972287 (4410)	100
01232972093 (4411)	111.3258924
01232972237 (4412)	145.5232965
01232973182 (4413)	100
01232971967 (4414)	155.4906109
01232971533 (4415)	111.3258924
01232972967 (4416)	179.2039319
01232971626 (4417)	100
01232973250 (4418)	100
01232971778 (4419)	148.3471081
01232971311 (4420)	100
01232971299 (4421)	141.660958
01232972502 (4422)	113.3943142
01232971698 (4423)	100
01232972268 (4424)	100
01232973232 (4425)	100
01232973551 (4426)	100
01232972111 (4427)	136.7511685
01232971930 (4428)	100.9649943
01232971345 (4429)	100.9649943
01232972795 (4430)	100
01232972205 (4431)	198.4251457
01232973064 (4432)	168.8141489
01232971766 (4433)	100
01232972152 (4434)	100
01232972540 (4435)	100
01232971496 (4436)	100
01232973390 (4437)	129.9899465
01232972089 (4438)	113.3943142
01232971918 (4439)	192.3423781
01232971600 (4440)	100
01232973137 (4441)	100
01232972680 (4442)	136.7511685
01232971921 (4443)	100
01232973339 (4444)	100
01232972543 (4445)	100
01232971833 (4446)	113.3943142
01232973366 (4447)	100
01232972360 (4448)	100
01232972457 (4449)	100
01232971422 (4450)	100
01232972732 (4451)	100
01232972640 (4452)	100
01232971527 (4453)	100
01232971996 (4454)	177.6312787
01232973414 (4455)	100
01232971859 (4456)	174.3268625
01232972707 (4457)	208.9184412
01232971045 (4458)	100
01232972033 (4459)	192.3423781
01232973217 (4460)	145.9514014
01232973169 (4461)	100
01232973148 (4462)	100
01232972856 (4463)	100
01232972899 (4464)	192.3423781
01232972125 (4465)	100
01232973008 (4466)	124.45418
01232972716 (4467)	145.5232965
01232971383 (4468)	208.5171111
01231329499 (4469)	179.2039319
01232972344 (4470)	100
01232972496 (4471)	121.5392744
01232972181 (4472)	177.6312787
01232972836 (4473)	132.2648461
01232973706 (4474)	221.7303498
01232972770 (4475)	100
01232972529 (4476)	168.8141489
01232972503 (4477)	148.2615536
01232972579 (4478)	100
01232972301 (4479)	100
01232972909 (4480)	100
01232971992 (4481)	100
01232972754 (4482)	100
01232973421 (4483)	177.6312787
01232972058 (4484)	100
01232972812 (4485)	100
01232973442 (4486)	124.45418
01232972903 (4487)	100
01232972855 (4488)	177.6312787
01232972099 (4489)	100
01232972393 (4490)	132.2648461
01231329582 (4491)	100
01232972410 (4492)	141.660958
01232971153 (4493)	100
01232972172 (4494)	224.4442141
01232972990 (4495)	100
01232971853 (4496)	100
01232972433 (4497)	110.1801673
01232972299 (4498)	303.0869365
01232972593 (4499)	100
01232973300 (4500)	252.0443448
01232972809 (4501)	127.4263374
01232973027 (4502)	100
01232972014 (4503)	100
01232972146 (4504)	127.4263374
01232973066 (4505)	157.1020711
01232973449 (4506)	139.4283958
01232972733 (4507)	100
01232972950 (4508)	100
01232972135 (4509)	110.1801673
01232972832 (4510)	100
01232973460 (4511)	100
01232971157 (4512)	115.9898247
01232973330 (4513)	148.1763271
01232973376 (4515)	208.5171111
01232972455 (4516)	148.1763271
01232972784 (4517)	100
01232973146 (4518)	221.4014376
01232971555 (4519)	168.8141489
01232971942 (4520)	168.8141489
01232973319 (4521)	112.1389959
01232971837 (4522)	139.4283958
01232973528 (4523)	112.1389959
01232973158 (4524)	100
01232973694 (4525)	124.45418
01232971436 (4526)	100
01232973147 (4527)	100
01231323296 (4528)	177.6312787
01232972083 (4529)	100
01232973409 (4530)	177.6312787
01232971103 (4531)	132.2648461
01232972564 (4532)	100
01232972552 (4533)	100
01232972724 (4534)	124.45418
01232971516 (4535)	178.470132
01232971597 (4536)	100
01232972345 (4537)	100
01232972163 (4538)	203.785257
01232973088 (4539)	100
01232973252 (4540)	100
01232971630 (4541)	100
01232971265 (4542)	169.1865128
01232973502 (4543)	124.45418
01232971858 (4544)	100
01232972602 (4545)	100
01232973405 (4546)	112.033438
01232971072 (4547)	158.8967671
01232972068 (4548)	269.3413052
01232972796 (4549)	100
01232973401 (4550)	143.5006344
01232972031 (4551)	100
01232972759 (4552)	100
01232972100 (4553)	131.4266745
01232973480 (4554)	174.3268625
01232972122 (4555)	133.6068995
01232971119 (4556)	259.3765011
01232972972 (4557)	100
01232973020 (4558)	100
01232972186 (4560)	100
01232971888 (4561)	100
01232972351 (4562)	145.5232965
01232971296 (4563)	212.7151069
01232971471 (4564)	169.1865128
01232972626 (4565)	179.3731185
01231328604 (4566)	174.3268625
01232971979 (4567)	223.0137662
01232971682 (4568)	179.3731185
01232971146 (4569)	100
01232973046 (4570)	100
01232972631 (4571)	100
01231328767 (4572)	271.4193341
01232972679 (4573)	100
01232971340 (4574)	211.0322392
01232971237 (4575)	100
01232973204 (4576)	172.0241604
01232973382 (4577)	174.9098891
01232971752 (4578)	100
01232971907 (4579)	238.0192492
01232971576 (4580)	161.7428803
01232972726 (4581)	132.2648461
01232972267 (4582)	100
01232971563 (4583)	100
01232973211 (4584)	100
01232971403 (4585)	100
01232972283 (4586)	123.2819342
01232971417 (4587)	100
01232973010 (4588)	287.49267
01232971786 (4589)	100
01232970707 (4590)	100
01232972140 (4591)	100
01232972978 (4592)	124.45418
01232971751 (4593)	100
01232971575 (4594)	100
01232972627 (4595)	100
01232972583 (4596)	148.1763271
01232973090 (4597)	198.3379376
01232972653 (4598)	100
01232972767 (4599)	132.2648461
01232973083 (4600)	168.8141489
01232971535 (4602)	100
01232971663 (4603)	177.6312787
01232972353 (4604)	254.8536239
01232972973 (4605)	124.45418
01232971500 (4606)	100
01232973092 (4608)	100
01232972439 (4609)	100
01232972703 (4610)	192.3423781
01232971972 (4612)	177.6312787
01232973039 (4613)	174.3268625
01232971276 (4614)	179.400305
01232973050 (4615)	100
01232973084 (4616)	100
01232971136 (4617)	117.9589866
01232972463 (4618)	177.5053645
01232973420 (4619)	177.6312787
01232971370 (4620)	177.5053645
01232972350 (4621)	100
01232972024 (4622)	100
01232972666 (4623)	208.5171111
01232972764 (4624)	168.8141489
01232971951 (4625)	100
01232972003 (4626)	185.4425555
01232971192 (4627)	100
01232972734 (4628)	115.9898247
01232972114 (4629)	132.2648461
01232973244 (4630)	100
01232972987 (4631)	100
01232972001 (4632)	100
01232973018 (4633)	100
01232971423 (4634)	124.5312029
01232971364 (4635)	100
01232973288 (4636)	100
01232972243 (4637)	287.3364632
01232972265 (4638)	100
01232973638 (4639)	100
01232972665 (4640)	100
01232972102 (4641)	100
01232971359 (4642)	287.3364632
01232972897 (4643)	136.7511685
01232971954 (4644)	100
01232973214 (4645)	100
01232971746 (4646)	145.9514014
01232972084 (4647)	100
01232973230 (4648)	108.9079369
01232971560 (4649)	100
01227587212 (4650)	100
01232972097 (4652)	177.6312787
01232972441 (4653)	100
01232972710 (4654)	100
01232972385 (4655)	116.3701651
01232971998 (4656)	249.4727795
01232972199 (4657)	175.8609394
01232972960 (4658)	108.9079369
01232973006 (4659)	137.2957384
01232973236 (4660)	211.0322392
01232972843 (4661)	116.3701651
01232973703 (4662)	130.9593936
01232971188 (4663)	181.4293052
01232973202 (4664)	148.0458349
01232973474 (4665)	141.660958
01232972017 (4666)	132.2648461
01232972610 (4667)	100
01232973134 (4668)	100
01232971648 (4669)	100
01232972974 (4670)	100
01232972586 (4672)	100
01232973485 (4673)	127.4263374
01232972264 (4675)	259.3765011
01232972789 (4676)	100
01232973415 (4677)	224.4442141
01232973509 (4678)	138.7873342
01232973209 (4679)	161.7428803
01232972790 (4680)	208.5171111
01232972698 (4681)	100
01232972573 (4682)	100
01232972043 (4683)	100
01232972589 (4684)	100
01232971658 (4685)	132.2648461
01232972371 (4686)	100
01232972386 (4687)	174.3268625
01232972411 (4688)	242.0173323
01232971374 (4689)	174.3268625
01232971579 (4690)	168.8141489
01232972247 (4691)	224.4442141
01232972874 (4692)	100
01232972475 (4693)	175.8609394
01232973648 (4694)	223.8089923
01232971775 (4695)	127.4263374
01232973369 (4696)	148.2522557
01232971524 (4697)	115.1022634
01232971705 (4698)	100
01232971611 (4699)	100
01232972191 (4700)	112.033438
01232973487 (4701)	112.033438
01232970843 (4702)	198.4251457
01232971395 (4703)	177.6312787
01232972808 (4704)	124.45418
01232973597 (4705)	115.9898247
01232972161 (4706)	203.785257
01232972462 (4707)	124.45418
01232970899 (4708)	100
01232973349 (4709)	168.8141489
01232973033 (4710)	100
01232972032 (4711)	303.0869365
01232971221 (4712)	126.5656518
01232972261 (4713)	311.3721632
01232972751 (4714)	104.4689533
01232972875 (4715)	100
01227587376 (4716)	176.1391026
01232972271 (4717)	121.3811644
01232971408 (4718)	100
01227721486 (4719)	142.9379139
01232971944 (4720)	207.4251102
01232972807 (4721)	100
01232973394 (4722)	100
01232973193 (4723)	203.785257
01232972482 (4724)	221.8043682
01232973048 (4725)	100
01235973694 (4726)	100
01232971900 (4727)	177.6312787
01232970459 (4728)	132.2648461
01232973256 (4729)	100
01232971831 (4730)	100
01232972251 (4731)	177.1787122
01232972865 (4732)	100
01232971358 (4733)	179.2039319
01232973127 (4734)	168.8141489
01232973463 (4735)	100
01232971629 (4736)	136.7511685
01232973259 (4737)	100
01232971433 (4738)	122.2418147
01232972209 (4739)	100
01232973322 (4740)	100
01232971660 (4741)	100
01232972867 (4742)	100
01232971861 (4743)	100
01232971352 (4744)	287.3364632
01232973143 (4745)	100
01232972887 (4746)	100
01232972798 (4747)	100
01232971183 (4749)	174.3268625
01232971928 (4750)	149.0922138
01232972550 (4751)	100
01232972133 (4752)	100
01232972597 (4753)	100
01232971616 (4755)	132.2648461
01232972394 (4756)	100
01232973515 (4757)	149.0922138
01232970915 (4758)	100
01232971216 (4759)	169.1865128
01232971566 (4760)	100
01232972325 (4761)	100
01232972643 (4762)	100
01232972859 (4763)	106.3367405
01232971264 (4764)	131.7639618
01232971945 (4765)	225.9463871
01232971508 (4766)	100
01232972377 (4767)	100
01232972162 (4768)	100
01232973225 (4769)	100
01232971254 (4770)	304.8704016
01232972317 (4771)	100
01232973452 (4772)	100
01232971612 (4774)	132.2648461
01232972047 (4775)	100
01232972520 (4776)	177.5053645
01232972818 (4777)	133.7986556
01232973610 (4778)	124.45418
01232972749 (4779)	100
01232971652 (4780)	100
01232971583 (4781)	305.6470526
01232971371 (4782)	124.45418
01232973032 (4783)	100
01232971014 (4784)	113.0166521
01232971847 (4785)	100
01232972937 (4786)	192.3423781
01232972560 (4787)	113.0166521
01232971978 (4788)	124.45418
01232972771 (4789)	169.1865128
01232972302 (4790)	100
01232971695 (4791)	113.6014179
01232973578 (4792)	113.6014179
01232971675 (4793)	153.1053367
01232973231 (4794)	305.6470526
01232972461 (4795)	100
01232972452 (4796)	192.3423781
01232972245 (4797)	145.9514014
01232971822 (4798)	177.6312787
01232972179 (4799)	100
01232972347 (4800)	100
01232971049 (4801)	100
01232972623 (4802)	100
01232972667 (4803)	100
01232973302 (4804)	178.8284829
01232972515 (4805)	250.078958
01232972412 (4806)	121.5392744
01232972613 (4807)	169.1865128
01232972938 (4808)	174.3268625
01232972792 (4809)	100
01232972535 (4810)	127.4263374
01232971687 (4811)	208.5171111
01232972777 (4812)	132.2648461
01232971289 (4813)	100
01232973298 (4814)	100
01232973260 (4815)	198.4251457
01232972332 (4816)	281.2583914
01232972306 (4817)	158.8967671
01232971963 (4820)	223.8089923
01232972091 (4821)	185.4425555
01232971042 (4822)	100
01232972004 (4823)	177.6312787
01232973170 (4824)	100
01232972542 (4825)	100
01232973175 (4826)	176.1391026
01232973234 (4827)	121.5392744
01231326121 (4828)	177.6312787
01232971622 (4830)	164.0356443
01232973541 (4831)	164.0356443
01232972949 (4832)	100
01232971935 (4833)	192.3423781
01232972086 (4834)	100
01232971270 (4835)	177.6312787
01232971966 (4836)	100
01232972852 (4837)	147.0037272
01232971549 (4838)	100
01232970866 (4839)	122.7803643
01232973448 (4840)	245.4781531
01232971931 (4841)	174.3268625
01232972752 (4842)	230.773771
01232971780 (4843)	100
01232972693 (4844)	100
01232971969 (4845)	171.4682894
01231329543 (4846)	171.4682894
01232972434 (4847)	185.4425555
01232973635 (4848)	100
01232972904 (4849)	168.8141489
01232971313 (4850)	124.45418
01232971661 (4851)	100
01232972446 (4852)	100
01232971581 (4853)	100
01232972995 (4854)	100
01232973500 (4855)	100
01232971529 (4856)	100
01232972736 (4857)	100
01232973167 (4858)	100
01232973670 (4859)	100
01232972467 (4860)	124.45418
01232971235 (4861)	260.5851185
01232971435 (4862)	100
01232971713 (4863)	100
01232973363 (4864)	100
01232972636 (4865)	100
01232971902 (4866)	100
01232972888 (4867)	174.3268625
01232972568 (4868)	100
01232973007 (4869)	147.7847343
01232971331 (4870)	192.3423781
01232973413 (4871)	100
01232973406 (4872)	124.45418
01232973062 (4873)	100
01232971322 (4874)	100
01232971205 (4875)	100
01232971320 (4876)	125.0296967
01232973443 (4877)	115.9898247
01232971525 (4878)	124.45418
01232971387 (4879)	274.7102608
01232973360 (4880)	296.0248829
01232973219 (4881)	132.2648461
01232972110 (4882)	129.3439899
01227721216 (4883)	115.9898247
01232971599 (4884)	100
01232973076 (4885)	127.9337602
01232971415 (4886)	100
01232972415 (4888)	127.9337602
01232972694 (4889)	100
01232971314 (4890)	100
01232971351 (4891)	146.134941
01232973481 (4892)	224.6280103
01232971521 (4893)	192.3423781
01232971350 (4894)	100
01232972871 (4895)	100
01232971715 (4896)	100
01232972928 (4897)	100
01232971489 (4898)	100
01232971133 (4899)	100
01232971510 (4900)	100
01232971473 (4901)	212.7151069
01232972678 (4902)	100
01232972830 (4903)	100
01232971732 (4904)	100
01232972356 (4905)	133.7986556
01232972474 (4906)	100
01232973163 (4907)	177.6312787
01232973386 (4908)	100
01232972072 (4909)	179.2039319
01232971882 (4910)	100
01232972783 (4911)	100
01232972704 (4912)	100
01232973385 (4913)	113.4200558
01232971903 (4914)	288.6182092
01232972476 (4915)	185.4425555
01232973496 (4916)	136.7511685
01232970390 (4917)	100
01232971926 (4918)	129.4988505
01232971552 (4919)	250.177211
01232973242 (4920)	100
01232973614 (4921)	147.7847343
01232973398 (4922)	100
01232972491 (4923)	100
01232973372 (4924)	208.5171111
01232972471 (4925)	100
01232971306 (4926)	100
01232973586 (4927)	100
01232971315 (4928)	100
01232972574 (4929)	100
01232972977 (4930)	177.6312787
01232972879 (4931)	100
01232971925 (4932)	100
01232972948 (4933)	100
01232973553 (4934)	175.306284
01232972002 (4936)	100
01232972030 (4937)	179.2039319
01232971679 (4938)	179.2039319
01232971275 (4939)	100
01232972421 (4940)	135.5210734
01232973501 (4941)	136.3702287
01232971731 (4942)	100
01232971877 (4943)	136.3702287
01232971777 (4944)	100
01232972132 (4945)	198.4251457
01232972728 (4946)	177.6312787
01232973150 (4947)	100
01232971502 (4948)	100
01232972495 (4949)	134.177128
01232972166 (4950)	185.4425555
01232973728 (4951)	100
01232972438 (4952)	159.4765821
01232972824 (4953)	192.3423781
01232973345 (4954)	177.6312787
01232973172 (4955)	100
01232972672 (4956)	192.3423781
01232971338 (4957)	168.8141489
01232972501 (4958)	100
01232972066 (4959)	176.1391026
01232963498 (4960)	100
01232972915 (4961)	108.1638522
01232971905 (4962)	225.4168325
01232972277 (4963)	126.7127561
01232971248 (4964)	100
01232972781 (4965)	100
01232971137 (4966)	100
01232973560 (4967)	100
01232972546 (4968)	100
01232971452 (4969)	177.6312787
01232973342 (4970)	133.7986556
01232971792 (4971)	208.5171111
01232972963 (4972)	198.4251457
01232971881 (4973)	117.1493094
01232971703 (4974)	117.1493094
01232971400 (4975)	100
01232972291 (4976)	168.8141489
01232971336 (4977)	227.6796579
01232973101 (4978)	168.8141489
01232970809 (4979)	145.9514014
01232971736 (4980)	157.1020711
01232971158 (4981)	100
01232971393 (4982)	100
01232972189 (4983)	100
01232971285 (4984)	100
01232972619 (4985)	100
01232972570 (4986)	138.7873342
01232971633 (4987)	100
01232971211 (4988)	100
01232972459 (4989)	100
01232971357 (4990)	107.9654651
01232971981 (4991)	131.7639618
01232970964 (4992)	124.45418
01232971401 (4993)	100
01232972116 (4994)	165.7694358
01232970943 (4995)	168.8141489
01232973106 (4996)	168.8141489
01232972464 (4997)	100
01232971292 (4998)	100
01232972854 (4999)	216.3044845
01232972326 (5000)	178.8284829
01232972826 (5001)	100
01232971744 (5002)	100
01232972889 (5003)	172.7437385
01232972118 (5004)	112.0696531
01232971718 (5005)	133.7986556
01232971717 (5006)	126.7127561
01232972092 (5007)	194.1160293
01232971941 (5008)	252.492159
01232972175 (5009)	192.3423781
01232971727 (5010)	203.785257
01232971889 (5011)	108.3817476
01232971082 (5012)	200.001507
01232972911 (5013)	208.5171111
01232973272 (5014)	203.785257
01232971947 (5015)	100
01232972249 (5016)	168.8141489
01232972235 (5017)	100
01232971908 (5018)	100
01232972706 (5019)	213.3199123
01232972136 (5020)	146.6561993
01232971464 (5021)	146.6561993
01232972339 (5022)	111.7961909
01232972067 (5023)	100
01232971955 (5024)	106.5840096
01232971910 (5025)	106.5840096
01232971460 (5026)	147.0037272
01232973051 (5027)	100
01232971816 (5028)	108.1638522
01232973129 (5029)	108.1638522
01232971444 (5030)	100
01232972307 (5031)	147.7847343
01232971755 (5032)	158.8967671
01232970963 (5033)	100
01232972275 (5034)	100
01232973418 (5035)	100
01232972077 (5036)	100
01232971878 (5037)	100
01232972509 (5038)	177.6312787
01232972547 (5039)	177.6312787
01232973598 (5040)	100
01232972405 (5041)	123.8981158
01232972082 (5042)	279.9152459
01232971397 (5043)	100
01232971209 (5044)	177.6312787
01232973650 (5045)	203.785257
01232972571 (5046)	227.6796579
01232972985 (5047)	246.0078921
01232973494 (5048)	246.0078921
01232972212 (5049)	124.45418
01232971742 (5050)	151.8404357
01232972719 (5051)	148.3549118
01232972286 (5052)	148.3549118
01232971061 (5053)	123.2819342
01232971817 (5054)	208.9184412
01232972555 (5055)	300.5171236
01232973396 (5056)	305.6470526
01232971441 (5057)	100
01232971469 (5058)	305.6470526
01232970876 (5059)	123.8981158
01232972297 (5060)	123.8981158
01232971120 (5061)	177.6312787
01232971674 (5062)	183.8187808
01232971261 (5063)	183.8187808
01232973590 (5064)	100
01232973198 (5065)	100
01232973117 (5066)	100
01232971193 (5067)	177.6312787
01232972700 (5068)	129.0799631
01232972499 (5069)	148.3471081
01227501282 (5070)	103.6602524
01232971570 (5071)	100
01232971446 (5072)	100
01232973563 (5073)	139.4283958
01232971810 (5074)	179.0778888
01232972170 (5075)	103.6602524
01232973617 (5076)	168.8141489
01232972979 (5077)	177.6312787
01232973070 (5078)	100
01232972076 (5079)	137.2957384
01232973031 (5080)	126.4523635
01232971361 (5081)	126.4523635
01232972365 (5082)	100
01232972366 (5083)	177.6312787
01232973306 (5084)	100
01232971762 (5085)	100
01232973241 (5086)	174.3268625
01232971280 (5087)	148.3471081
01232973075 (5088)	100
01232971479 (5089)	168.0912538
01232971826 (5090)	270.0098556
01232971268 (5091)	100
01232973196 (5092)	100
01232971598 (5093)	100
01232972015 (5094)	145.5232965
01232971396 (5095)	123.8981158
01232973124 (5096)	168.8141489
01232971773 (5097)	168.8141489
01232971506 (5098)	100
